Okapi BM25

  Query    P@5    P@10    P@20       P@30
-------  -----  ------  ------  ---------
    202    0       0      0     0
    214    0       0      0.1   0.0666667
    216    0       0      0.05  0.0333333
    221    0       0.1    0.1   0.0666667
    227    0       0      0     0.0333333
    230    0       0      0.05  0.0333333
    234    0.2     0.1    0.05  0.0333333
    243    0       0      0     0
    246    0       0      0.05  0.0333333
    250    0       0      0     0

Dirichlet Smoothing

  Query    P@5    P@10    P@20       P@30
-------  -----  ------  ------  ---------
    202      0       0    0     0
    214      0       0    0     0
    216      0       0    0     0.0333333
    221      0       0    0.15  0.133333
    227      0       0    0     0.0333333
    230      0       0    0     0.0333333
    234      0       0    0.05  0.0333333
    243      0       0    0.05  0.0666667
    246      0       0    0.05  0.0333333
    250      0       0    0     0
